ID,NOM,LATITUDE,LONGITUDE
8892403,"Kortemark",51.02525,3.043456
8892452,"Dixmude",51.03272,2.868947
8892601,"Audenarde",50.85012,3.600388
8892627,"Eine",50.87043,3.623777
8892635,"Zingem",50.90803,3.646381
8892643,"Gavere-Asper",50.93002,3.639728
8892650,"Eke-Nazareth",50.96077,3.627836
8892692,"Sint-Denijs-Boekel",50.8743,3.6984
8892734,"Anzegem",50.82639,3.495013
8892908,"Renaix",50.74251,3.60255
8893013,"Merelbeke",51.01753,3.76889
8893039,"Melle",51.00281,3.79709
8893047,"Gontrode",50.9802,3.801671
8893054,"Landskouter",50.97055,3.791148
8893062,"Moortsele",50.95352,3.78134
8893070,"Scheldewindeke",50.93707,3.777844
8893120,"Gand-Dampoort",51.05637,3.74059
8893179,"Gentbrugge",51.03864,3.756326
8893211,"Wondelgem",51.08836,3.719075
8893252,"Evergem",51.10758,3.701381
8893260,"Sleidinge",51.1266,3.667527
8893401,"Termonde",51.02278,4.10143
8893443,"Sint-Gillis",51.0217,4.117831
8893518,"Oudegem",51.01523,4.064472
8893526,"Schoonaarde",51.00315,4.011095
8893534,"Wichelen",51.00196,3.969195
8893542,"Schellebelle",51.00315,3.92137
8893559,"Wetteren",51.0016,3.88188
8893567,"Kwatrecht",50.99175,3.829591
8893583,"Serskamp",50.9844,3.95936
8893708,"Eeklo",51.18133,3.574518
8893815,"Waarschoot",51.15461,3.61535
8894151,"Beervelde",51.08753,3.879383
8894201,"Lokeren",51.10806,3.987794
8894235,"Zele",51.07325,4.042001
8894425,"Sinaai",51.1434,4.06894
8894433,"Belsele",51.15099,4.08861
8894508,"Saint-Nicolas",51.17147,4.142963
8894672,"Tamise",51.12608,4.221349
8894714,"Nieuwkerken-Waas",51.18561,4.185904
8894748,"Beveren",51.20834,4.259525
8894755,"Melsele",51.21071,4.286767
8894821,"Zwijndrecht",51.21411,4.329776
8895000,"Alost",50.94282,4.039649
8895067,"Lede",50.9709,3.98498
8895091,"Erembodegem",50.91962,4.055451
8895125,"Alost Kerrebroek",50.94838,4.024412
8895208,"Zottegem",50.8691,3.81441
8895232,"Munkzwalm",50.87568,3.733242
8895240,"Balegem-Zuid",50.90051,3.80587
8895257,"Balegem-Dorp",50.91961,3.791423
8895422,"Hillegem",50.8913,3.85747
8895430,"Herzele",50.89722,3.880616
8895448,"Terhagen",50.90165,3.896657
8895455,"Burst",50.90719,3.922418
8895463,"Bambrugge",50.91377,3.935715
8895471,"Erpe-Mere",50.9286,3.96246
8895489,"Vijfhuizen",50.94325,3.98125
8895505,"Grammont",50.77113,3.872326
8895570,"Lierde",50.81624,3.826561
8895612,"Viane-Moerbeke",50.75198,3.91734
8895620,"Gammerages",50.74392,3.965726
8895638,"Tollembeek",50.73552,3.992826
8895646,"Herne",50.72371,4.014578
8895711,"Schendelbeke",50.79785,3.899285
8895729,"Idegem",50.80188,3.921556
8895737,"Zandbergen",50.80699,3.957652
8895745,"Appelterre",50.81307,3.972107
8895752,"Eichem",50.82399,3.993748
8895760,"Ninove",50.83951,4.026137
8895778,"Okegem",50.85772,4.054554
8895802,"Denderleeuw",50.89193,4.07183
8895836,"Liedekerke",50.88253,4.09529
8895844,"Iddergem",50.87688,4.068488
8895851,"Welle",50.90327,4.050617
8895869,"Haaltert",50.90684,4.023957
8895877,"Ede",50.91105,3.987525
8896008,"Courtrai",50.8245,3.264548
